TempRev,TempSet,TimeLog
80.0,80.0,12:16:44
80.3,80.0,12:16:53
81.1,80.0,12:17:02
81.3,80.0,12:17:11
81.0,80.0,12:17:20
80.3,80.0,12:17:29
79.5,80.0,12:17:38
78.7,80.0,12:17:47
79.0,80.0,12:17:56
79.4,80.0,12:18:05
80.2,80.0,12:18:14
81.6,80.0,12:18:23
82.0,80.0,12:18:32
82.0,80.0,12:18:41
81.3,80.0,12:18:50
79.9,80.0,12:18:59
78.5,80.0,12:19:08
77.6,80.0,12:19:17
77.8,80.0,12:19:26
79.4,80.0,12:19:35
81.6,80.0,12:19:44
83.2,80.0,12:19:53
81.9,80.0,12:20:02
80.4,80.0,12:20:11
79.6,80.0,12:20:20
78.8,80.0,12:20:29
79.2,80.0,12:20:38
79.5,80.0,12:20:47
80.3,80.0,12:20:56
81.3,80.0,12:21:05
82.0,80.0,12:21:14
81.8,80.0,12:21:23
80.8,80.0,12:21:32
79.6,80.0,12:21:41
78.7,80.0,12:21:50
78.5,80.0,12:21:59
78.8,80.0,12:22:08
79.2,80.0,12:22:17
80.0,80.0,12:22:26
81.4,80.0,12:22:35
82.2,80.0,12:22:44
81.1,80.0,12:22:53
79.2,80.0,12:23:02
78.5,80.0,12:23:11
78.8,80.0,12:23:20
79.8,80.0,12:23:29
80.8,80.0,12:23:38
81.2,80.0,12:23:47
81.2,80.0,12:23:56
80.9,80.0,12:24:05
80.2,80.0,12:24:14
79.4,80.0,12:24:23
79.4,80.0,12:24:32
79.0,80.0,12:24:41
79.3,80.0,12:24:50
80.3,80.0,12:24:59
81.2,80.0,12:25:08
81.5,80.0,12:25:17
81.1,80.0,12:25:26
80.4,80.0,12:25:35
79.6,80.0,12:25:44
78.9,80.0,12:25:53
78.6,80.0,12:26:02
78.8,80.0,12:26:11
79.8,80.0,12:26:20
80.7,80.0,12:26:29
81.6,80.0,12:26:38
81.7,80.0,12:26:47
81.3,80.0,12:26:56
80.4,80.0,12:27:05
79.7,80.0,12:27:14
78.6,80.0,12:27:23
78.2,80.0,12:27:32
78.7,80.0,12:27:41
80.0,80.0,12:27:50
81.0,80.0,12:27:59
81.7,80.0,12:28:08
81.8,80.0,12:28:17
81.4,80.0,12:28:26
80.6,80.0,12:28:35
79.4,80.0,12:28:44
78.5,80.0,12:28:53
78.0,80.0,12:29:03
78.3,80.0,12:29:12
79.0,80.0,12:29:21
80.3,80.0,12:29:30
81.4,80.0,12:29:39
82.1,80.0,12:29:48
79.9,80.0,12:29:57
80.5,80.0,12:30:06
80.9,80.0,12:30:15
81.1,80.0,12:30:24
80.2,80.0,12:30:33
79.6,80.0,12:30:42
79.0,80.0,12:30:51
78.9,80.0,12:31:00
79.3,80.0,12:31:09
80.4,80.0,12:31:18
81.4,80.0,12:31:27
81.7,80.0,12:31:36
79.5,80.0,12:31:45
78.8,80.0,12:31:54
78.8,80.0,12:32:03
79.3,80.0,12:32:12
80.3,80.0,12:32:21
81.5,80.0,12:32:30
82.0,80.0,12:32:39
79.7,80.0,12:32:48
79.8,80.0,12:32:57
79.4,80.0,12:33:06
79.6,80.0,12:33:15
80.2,80.0,12:33:24
80.7,80.0,12:33:33
81.1,80.0,12:33:42
80.9,80.0,12:33:51
81.3,80.0,12:34:00
80.9,80.0,12:34:09
79.9,80.0,12:34:18
78.8,80.0,12:34:27
78.3,80.0,12:34:36
78.4,80.0,12:34:45
79.3,80.0,12:34:54
80.4,80.0,12:35:03
81.2,80.0,12:35:12
81.1,80.0,12:35:21
81.4,80.0,12:35:30
81.0,80.0,12:35:39
79.9,80.0,12:35:48
78.7,80.0,12:35:57
77.7,80.0,12:36:06
77.9,80.0,12:36:15
78.6,80.0,12:36:24
79.7,80.0,12:36:33
81.5,80.0,12:36:42
82.4,80.0,12:36:51
80.3,80.0,12:37:00
79.6,80.0,12:37:09
79.2,80.0,12:37:18
79.2,80.0,12:37:27
79.7,80.0,12:37:36
80.2,80.0,12:37:45
80.5,80.0,12:37:54
81.0,80.0,12:38:03
80.7,80.0,12:38:12
80.3,80.0,12:38:21
79.8,80.0,12:38:30
79.8,80.0,12:38:39
80.0,80.0,12:38:48
80.5,80.0,12:38:57
80.7,80.0,12:39:06
80.5,80.0,12:39:15
80.4,80.0,12:39:24
80.1,80.0,12:39:33
79.7,80.0,12:39:42
79.8,80.0,12:39:51
80.1,80.0,12:40:00
80.2,80.0,12:40:09
80.6,80.0,12:40:18
80.9,80.0,12:40:27
80.5,80.0,12:40:37
79.9,80.0,12:40:46
79.6,80.0,12:40:55
79.8,80.0,12:41:04
80.1,80.0,12:41:13
80.8,80.0,12:41:22
81.1,80.0,12:41:31
81.1,80.0,12:41:40
80.7,80.0,12:41:49
80.1,80.0,12:41:58
79.9,80.0,12:42:07
78.9,80.0,12:42:16
79.0,80.0,12:42:25
80.0,80.0,12:42:34
80.9,80.0,12:42:43
81.6,80.0,12:42:52
81.9,80.0,12:43:01
81.4,80.0,12:43:10
80.4,80.0,12:43:19
79.2,80.0,12:43:28
78.2,80.0,12:43:37
77.8,80.0,12:43:46
79.3,80.0,12:43:55
80.8,80.0,12:44:04
82.2,80.0,12:44:13
81.2,80.0,12:44:22
80.1,80.0,12:44:31
80.1,80.0,12:44:40
80.1,80.0,12:44:49
80.4,80.0,12:44:58
80.1,80.0,12:45:07
80.8,80.0,12:45:16
81.0,80.0,12:45:25
80.7,80.0,12:45:34
80.4,80.0,12:45:43
80.2,80.0,12:45:52
79.4,80.0,12:46:01
79.4,80.0,12:46:10
79.8,80.0,12:46:19
80.0,80.0,12:46:28
80.3,80.0,12:46:37
81.1,80.0,12:46:46
81.3,80.0,12:46:55
81.3,80.0,12:47:04
80.9,80.0,12:47:13
80.1,80.0,12:47:22
79.4,80.0,12:47:31
78.4,80.0,12:47:40
78.7,80.0,12:47:49
80.2,80.0,12:47:58
81.7,80.0,12:48:07
82.1,80.0,12:48:16
82.0,80.0,12:48:25
81.4,80.0,12:48:34
80.0,80.0,12:48:43
78.7,80.0,12:48:52
78.2,80.0,12:49:01
78.0,80.0,12:49:10
78.9,80.0,12:49:19
80.3,80.0,12:49:28
81.8,80.0,12:49:37
82.3,80.0,12:49:46
81.8,80.0,12:49:55
80.8,80.0,12:50:04
80.3,80.0,12:50:13
78.6,80.0,12:50:22
78.0,80.0,12:50:31
78.5,80.0,12:50:40
79.2,80.0,12:50:49
80.1,80.0,12:50:58
81.1,80.0,12:51:07
82.2,80.0,12:51:16
82.3,80.0,12:51:25
80.0,80.0,12:51:34
80.1,80.0,12:51:43
