TempRev,TempSet,TimeLog
22.0,60.0,31:42
22.0,60.0,31:45
22.0,60.0,31:48
22.0,60.0,31:51
22.0,60.0,31:54
21.5,60.0,31:57
21.5,60.0,32:00
21.5,60.0,32:03
21.5,60.0,32:06
21.4,60.0,32:09
21.4,60.0,32:12
21.5,60.0,32:15
21.5,60.0,32:18
21.4,60.0,32:21
22.0,60.0,32:24
22.0,60.0,32:27
22.0,60.0,32:30
22.0,60.0,32:33
22.0,60.0,32:36
21.5,60.0,32:39
21.4,60.0,32:42
21.4,60.0,32:45
21.4,60.0,32:48
21.4,60.0,32:51
21.3,60.0,32:54
21.3,60.0,32:57
21.3,60.0,33:00
21.3,60.0,33:03
21.3,60.0,33:06
22.2,60.0,33:09
22.1,60.0,33:12
22.1,60.0,33:15
22.1,60.0,33:18
21.4,60.0,33:21
21.5,60.0,33:24
21.5,60.0,33:27
21.5,60.0,33:30
21.5,60.0,33:33
21.4,60.0,33:36
21.4,60.0,33:39
21.4,60.0,33:42
21.3,60.0,33:45
21.3,60.0,33:48
22.1,60.0,33:51
22.1,60.0,33:54
22.1,60.0,33:57
22.1,60.0,34:00
22.1,60.0,34:03
21.4,60.0,34:06
21.4,60.0,34:09
21.4,60.0,34:12
21.5,60.0,34:15
21.5,60.0,34:18
21.4,60.0,34:21
21.4,60.0,34:24
21.3,60.0,34:27
21.3,60.0,34:30
22.1,60.0,34:33
22.1,60.0,34:36
22.1,60.0,34:39
22.1,60.0,34:42
22.1,60.0,34:45
21.4,60.0,34:48
21.4,60.0,34:51
21.4,60.0,34:54
21.4,60.0,34:57
21.3,60.0,35:00
21.4,60.0,35:03
21.4,60.0,35:06
21.3,60.0,35:09
21.3,60.0,35:12
22.1,60.0,35:15
22.1,60.0,35:18
22.1,60.0,35:21
22.1,60.0,35:24
22.1,60.0,35:27
21.4,60.0,35:30
21.4,60.0,35:33
21.4,60.0,35:36
21.4,60.0,35:39
21.4,60.0,35:42
21.4,60.0,35:45
21.4,60.0,35:48
21.4,60.0,35:51
21.3,60.0,35:54
22.1,60.0,35:57
22.1,60.0,36:00
22.1,60.0,36:03
22.2,60.0,36:06
22.1,60.0,36:09
21.5,60.0,36:12
21.5,60.0,36:15
21.5,60.0,36:18
21.5,60.0,36:21
21.5,60.0,36:24
21.4,60.0,36:27
21.4,60.0,36:30
21.4,60.0,36:33
21.4,60.0,36:36
22.1,60.0,36:39
22.2,60.0,36:42
22.1,60.0,36:45
22.1,60.0,36:48
22.1,60.0,36:51
21.4,60.0,36:54
21.5,60.0,36:57
21.5,60.0,37:00
21.5,60.0,37:03
21.7,60.0,37:06
21.4,60.0,37:10
21.3,60.0,37:13
21.4,60.0,37:16
21.4,60.0,37:19
21.4,60.0,37:22
22.1,60.0,37:25
22.1,60.0,37:28
22.1,60.0,37:31
22.1,60.0,37:34
22.1,60.0,37:37
21.4,60.0,37:40
21.4,60.0,37:43
21.6,60.0,37:46
21.6,60.0,37:49
21.3,60.0,37:52
21.3,60.0,37:55
21.3,60.0,37:58
21.3,60.0,38:01
21.3,60.0,38:04
22.1,60.0,38:07
22.0,60.0,38:10
22.0,60.0,38:13
22.0,60.0,38:16
22.0,60.0,38:19
21.3,60.0,38:22
21.3,60.0,38:25
21.5,60.0,38:28
21.5,60.0,38:31
21.5,60.0,38:34
21.2,60.0,38:37
21.2,60.0,38:40
21.2,60.0,38:43
21.2,60.0,38:46
22.0,60.0,38:49
22.0,60.0,38:52
22.0,60.0,38:55
22.0,60.0,38:58
22.0,60.0,39:01
21.3,60.0,39:04
21.5,60.0,39:07
21.5,60.0,39:10
21.5,60.0,39:13
21.5,60.0,39:16
21.2,60.0,39:19
21.2,60.0,39:22
21.2,60.0,39:25
21.2,60.0,39:28
22.0,60.0,39:31
22.0,60.0,39:34
22.0,60.0,39:37
22.0,60.0,39:40
22.0,60.0,39:43
21.3,60.0,39:46
21.5,60.0,39:49
21.5,60.0,39:52
21.5,60.0,39:55
21.5,60.0,39:58
21.2,60.0,40:01
21.2,60.0,40:04
21.2,60.0,40:07
21.2,60.0,40:10
21.2,60.0,40:13
22.0,60.0,40:16
22.0,60.0,40:19
22.0,60.0,40:22
22.0,60.0,40:25
21.7,60.0,40:28
21.5,60.0,40:31
21.5,60.0,40:34
21.5,60.0,40:36
21.3,60.0,40:39
21.3,60.0,40:42
21.5,60.0,40:45
21.5,60.0,40:48
21.5,60.0,40:51
21.5,60.0,40:54
21.5,60.0,40:57
21.7,60.0,41:00
21.7,60.0,41:03
21.7,60.0,41:06
22.1,60.0,41:09
21.3,60.0,41:12
21.4,60.0,41:15
21.3,60.0,41:18
21.3,60.0,41:21
21.3,60.0,41:24
21.5,60.0,41:27
21.5,60.0,41:30
21.5,60.0,41:33
21.5,60.0,41:36
21.6,60.0,41:39
21.8,60.0,41:42
21.8,60.0,41:45
21.8,60.0,41:48
22.3,60.0,41:51
22.1,60.0,41:54
22.1,60.0,41:57
21.5,60.0,42:00
21.5,60.0,42:03
21.5,60.0,42:06
21.5,60.0,42:09
21.6,60.0,42:12
21.6,60.0,42:15
21.7,60.0,42:18
21.7,60.0,42:21
21.7,60.0,42:24
21.9,60.0,42:27
22.4,60.0,42:30
22.2,60.0,42:33
22.3,60.0,42:36
22.3,60.0,42:39
21.6,60.0,42:42
21.6,60.0,42:45
21.6,60.0,42:48
21.6,60.0,42:51
21.7,60.0,42:54
21.7,60.0,42:57
21.7,60.0,43:00
21.7,60.0,43:03
21.9,60.0,43:06
21.9,60.0,43:09
22.3,60.0,43:12
22.2,60.0,43:15
22.1,60.0,43:18
21.4,60.0,43:21
21.4,60.0,43:24
21.5,60.0,43:27
21.4,60.0,43:30
21.4,60.0,43:33
21.5,60.0,43:36
21.5,60.0,43:39
21.5,60.0,43:42
21.5,60.0,43:45
21.5,60.0,43:48
21.6,60.0,43:51
22.1,60.0,43:54
21.9,60.0,43:57
21.9,60.0,44:00
21.9,60.0,44:03
21.2,60.0,44:06
21.2,60.0,44:09
21.2,60.0,44:12
21.2,60.0,44:15
21.2,60.0,44:18
21.4,60.0,44:21
21.3,60.0,44:24
21.3,60.0,44:27
21.3,60.0,44:30
21.1,60.0,44:33
21.8,60.0,44:36
21.7,60.0,44:39
21.7,60.0,44:42
21.7,60.0,44:45
21.8,60.0,44:48
21.0,60.0,44:51
21.0,60.0,44:54
21.0,60.0,44:57
21.0,60.0,45:00
21.2,60.0,45:03
21.2,60.0,45:06
21.2,60.0,45:09
21.2,60.0,45:12
21.0,60.0,45:15
21.7,60.0,45:18
21.7,60.0,45:21
21.6,60.0,45:24
21.7,60.0,45:27
21.7,60.0,45:30
21.7,60.0,45:33
21.0,60.0,45:36
21.0,60.0,45:39
21.0,60.0,45:42
21.1,60.0,45:45
21.3,60.0,45:48
21.2,60.0,45:51
21.1,60.0,45:54
20.9,60.0,45:57
20.9,60.0,46:00
21.7,60.0,46:03
21.7,60.0,46:06
21.7,60.0,46:09
21.7,60.0,46:12
21.7,60.0,46:15
21.0,60.0,46:18
21.0,60.0,46:21
21.0,60.0,46:24
21.1,60.0,46:27
21.2,60.0,46:30
21.2,60.0,46:33
21.0,60.0,46:36
20.9,60.0,46:39
20.8,60.0,46:42
21.7,60.0,46:45
21.6,60.0,46:48
21.7,60.0,46:51
